k, value
65,0.526878
65,0.530138
65,0.517809
65,0.523057
66,0.526043
66,0.534666
66,0.536605
66,0.523729
66,0.535106
66,0.528348
66,0.523888
66,0.524259
66,0.532856
66,0.522474
67,0.53198
67,0.531985
67,0.530913
67,0.533057
67,0.533394
67,0.518926
67,0.540335
67,0.537158
67,0.543202
67,0.533005
68,0.539685
68,0.543771
68,0.536012
68,0.544009
68,0.543896
68,0.535898
68,0.53465
68,0.541946
68,0.545629
68,0.539075
69,0.533039
69,0.533107
69,0.544109
69,0.533608
69,0.5355
69,0.547513
69,0.551028
69,0.543789
69,0.538108
69,0.537161
70,0.554044
70,0.551188
70,0.551713
70,0.548366
70,0.546696
70,0.541335
70,0.544717
70,0.541831
70,0.543022
70,0.54488
71,0.546557
71,0.545702
71,0.548346
71,0.548117
71,0.544651
71,0.55579
71,0.540961
71,0.541768
71,0.555568
71,0.55178
72,0.553267
72,0.551899
72,0.557005
72,0.552022
72,0.555859
72,0.550499
72,0.556297
72,0.553841
72,0.552444
72,0.555774
73,0.556238
73,0.556507
73,0.551993
73,0.560517
73,0.551508
73,0.550152
73,0.555419
73,0.552074
73,0.558758
73,0.558269
74,0.576315
74,0.558194
74,0.55805
74,0.55854
74,0.569996
74,0.556243
74,0.559413
74,0.560912
74,0.554577
74,0.561751
75,0.567079
75,0.560015
75,0.559169
75,0.55895
75,0.563299
75,0.566893
75,0.563668
75,0.562367
75,0.561188
75,0.559585
76,0.564639
76,0.573501
76,0.572288
76,0.559655
76,0.567328
76,0.564147
76,0.573485
76,0.57064
76,0.570021
76,0.570973
77,0.581798
77,0.570047
77,0.574588
77,0.568612
77,0.574832
77,0.569919
77,0.569493
77,0.569192
77,0.579343
77,0.568422
78,0.579595
78,0.572566
78,0.572339
78,0.574863
78,0.567263
78,0.566559
78,0.574249
78,0.573039
78,0.570475
78,0.575991
79,0.575386
79,0.588848
79,0.579876
79,0.577174
79,0.582457
79,0.583554
79,0.58263
79,0.58319
79,0.578521
79,0.581969
80,0.577687
80,0.575493
80,0.582348
80,0.579781
80,0.580305
80,0.587061
80,0.580168
80,0.583737
80,0.584418
80,0.589124
81,0.577628
81,0.583674
81,0.586228
81,0.586115
81,0.586326
81,0.586872
81,0.583537
81,0.584467
81,0.577908
81,0.586464
82,0.585018
82,0.585916
82,0.583801
82,0.588026
82,0.592274
82,0.592003
82,0.57955
82,0.590539
82,0.582083
82,0.587732
83,0.592191
83,0.598783
83,0.593135
83,0.596592
83,0.595091
83,0.595394
83,0.593533
83,0.58836
83,0.590422
83,0.594122
84,0.595556
84,0.588233
84,0.596454
84,0.589156
84,0.590259
84,0.597982
84,0.591739
84,0.595378
84,0.589244
84,0.598759
